ax1,ay1,az1
8.92076,-10.3485,1.5355
6.84149,-9.84542,1.35345
4.20167,-9.68252,0.761762
2.4913,-8.95909,0.4767
0.170079,-7.16488,0.474305
-2.35715,-4.83647,-1.08036
-4.99457,-2.27331,-2.02897
-6.91575,-0.673129,-3.0734
-7.21039,-0.306621,-2.98716
-7.03792,-1.88045,-2.51286
-6.18273,-3.94296,-0.857581
-4.26635,-6.54205,0.414418
-1.89961,-8.02725,1.55227
1.22169,-9.57233,1.66965
5.92641,-9.71606,0.050305
9.59629,-8.42969,0.77374
12.9356,-6.68818,-0.141333
15.0125,-3.75611,-1.42291
15.7024,-1.47561,-2.71168
13.9081,-0.364113,-3.20036
10.8707,-0.356926,-3.28899
9.29206,-0.9007,-2.22061
8.33147,-1.51873,-0.701875
7.01636,-1.89482,-0.634802
7.56971,-2.24935,0.373695
8.583,-3.13808,-0.0479096
8.01048,-3.14047,1.38938
9.09803,-2.72126,0.891118
9.84063,-2.2254,0.0886327
10.7892,-2.01939,0.462327
11.5294,-2.23019,-0.0694689
11.1342,-1.63611,-0.668339
10.8228,-1.44208,-0.512632
10.6958,-0.807276,-0.958191
9.84781,-0.304226,-1.29835
10.2479,0.253921,-0.857581
10.6814,0.215593,-1.90441
10.1976,0.821649,-1.07797
10.1353,0.850395,-0.548565
9.99154,0.294644,-0.45035
9.855,0.340158,-0.198825
10.0251,0.10061,0.397649
9.88854,-0.182056,-0.0119774
9.39986,0.0335367,-0.316203
9.48849,-0.40244,0.709062
9.50286,-0.182056,-0.0670734
9.66576,0.723435,0.0886327
9.95321,0.356926,0.984542
9.35913,-0.30183,0.697084
9.77116,-0.182056,1.61455
8.78182,-0.759367,1.02766
8.65486,0.546169,0.196429
9.47412,0.0215593,0.359322
9.84063,-0.481491,0.622824
9.92207,0.0311412,0.325785
9.83104,0.225175,-0.110192
9.78553,0.184452,0.155706
9.41902,0.119774,-0.0958191
9.78074,-0.0119774,0.213198
10.2838,0.136542,-0.136542
10.0083,0.105401,0.311412
9.22259,-0.646779,-0.505446
9.71846,-0.0910282,0.435977
9.79032,0.0742598,-0.256316
9.75678,0.579706,-0.0167683
9.76637,-0.0934237,0.412022
9.79032,0.138938,0.0982146
9.78074,0.162893,0.0742598
9.75439,0.055096,0.225175
9.77116,0.124565,0.153311
9.77595,0.129356,0.131751
9.76876,0.0862372,0.107797
9.7472,0.0982146,0.107797
9.76397,0.0982146,0.124565
9.78313,0.114983,0.122169
9.78793,0.0622824,0.103006
9.74481,0.0982146,0.153311
9.78074,0.129356,0.105401
9.79511,0.114983,0.0742598
9.73762,0.10061,0.0958191
9.74481,0.0958191,0.103006
9.78313,0.0982146,0.129356
9.78313,0.107797,0.0958191
9.76157,0.0766553,0.10061
9.76637,0.0958191,0.0958191
9.77834,0.131751,0.160497
9.79511,0.0982146,0.122169
9.76637,0.129356,0.114983
9.73283,0.0910282,0.122169
9.77595,0.112587,0.122169
9.79511,0.131751,0.0838417
9.72325,0.0958191,0.0958191
9.75439,0.103006,0.131751
9.78793,0.136542,0.131751
9.7496,0.107797,0.0694689
9.76637,0.0958191,0.114983
9.77116,0.0910282,0.129356
9.79751,0.114983,0.0862372
9.77595,0.050305,0.12696
9.77116,0.124565,0.122169
9.77834,0.112587,0.0958191
9.75918,0.112587,0.167683
9.74241,0.143729,0.0934237
9.76397,0.119774,0.12696
9.77355,0.103006,0.114983
9.7496,0.124565,0.112587
9.78793,0.105401,0.0742598
9.76397,0.122169,0.0718644
9.75678,0.117378,0.110192
9.77595,0.0886327,0.122169
9.79272,0.141333,0.146124
9.77595,0.0982146,0.136542
9.77595,0.0718644,0.122169
9.77834,0.131751,0.114983
9.73283,0.0814463,0.0886327
9.75918,0.105401,0.122169
9.7496,0.105401,0.0838417
9.80709,0.110192,0.110192
9.7472,0.107797,0.103006
9.74241,0.0982146,0.117378
9.76157,0.110192,0.0814463
9.76637,0.0982146,0.146124
9.7496,0.103006,0.122169
9.78313,0.122169,0.0790508
9.77595,0.117378,0.117378
9.78074,0.0862372,0.0886327
9.7496,0.0814463,0.146124
9.75678,0.0958191,0.122169
9.76637,0.131751,0.12696
9.7496,0.122169,0.131751
9.77834,0.110192,0.143729
9.78074,0.0862372,0.0958191
9.7496,0.0982146,0.110192
9.77595,0.129356,0.0886327
9.77355,0.105401,0.129356
9.77834,0.122169,0.0694689
9.81188,0.110192,0.124565
9.76876,0.136542,0.129356
9.82386,0.107797,0.103006
9.80709,0.162893,0.103006
9.76397,0.10061,0.0862372
9.75678,0.0790508,0.0982146
9.82146,0.0934237,0.0934237
9.7496,0.0814463,0.122169
9.77834,0.0886327,0.107797
9.74241,0.0862372,0.0790508
9.73762,0.107797,0.117378
9.77355,0.114983,0.0958191
9.77116,0.12696,0.124565
9.76157,0.119774,0.103006
9.78793,0.131751,0.138938
9.7496,0.10061,0.129356
9.79272,0.10061,0.143729
9.73283,0.0982146,0.0862372
9.74241,0.0838417,0.124565
9.75918,0.117378,0.117378
9.72564,0.0934237,0.136542
9.77355,0.117378,0.117378
9.76397,0.0934237,0.146124
9.76397,0.0982146,0.122169
9.73762,0.103006,0.122169
9.78313,0.131751,0.117378
9.75439,0.122169,0.146124
9.78553,0.0982146,0.10061
9.75678,0.0862372,0.110192
9.76876,0.0982146,0.136542
9.76876,0.0862372,0.0838417
9.79751,0.119774,0.12696
9.75678,0.110192,0.117378
9.75918,0.124565,0.0886327
9.74481,0.131751,0.114983
9.77834,0.103006,0.10061
9.77834,0.117378,0.10061
9.74241,0.117378,0.110192
9.77595,0.0742598,0.112587
9.77116,0.117378,0.10061
9.78793,0.0814463,0.129356
9.7496,0.105401,0.103006
9.79511,0.0910282,0.122169
9.77355,0.0982146,0.0838417
9.76397,0.10061,0.122169
9.79751,0.114983,0.0838417
9.77834,0.124565,0.0838417
9.77116,0.0790508,0.122169
9.77116,0.0982146,0.146124
9.78074,0.0958191,0.0886327
9.78553,0.103006,0.143729
9.75918,0.0982146,0.114983
9.73762,0.119774,0.0838417
9.74481,0.0982146,0.124565
9.77595,0.112587,0.0694689
9.76637,0.112587,0.114983
9.73043,0.0982146,0.105401
9.75678,0.122169,0.141333
9.77355,0.129356,0.0718644
9.76157,0.131751,0.117378
9.76157,0.112587,0.122169
9.74241,0.0862372,0.0167683
9.7496,0.141333,0.153311
9.76397,0.110192,0.122169
9.76876,0.117378,0.12696
9.7496,0.136542,0.124565
9.75678,0.0982146,0.0934237
9.79511,0.0838417,0.114983
9.7472,0.10061,0.103006
9.78553,0.0982146,0.110192
9.79272,0.0982146,0.129356
9.75678,0.134147,0.122169
9.76876,0.0982146,0.0838417
9.77116,0.112587,0.112587
9.76157,0.119774,0.114983
9.76637,0.0934237,0.114983
9.78313,0.117378,0.10061
9.75678,0.117378,0.114983
9.78074,0.114983,0.0790508
9.76397,0.0910282,0.131751
9.76397,0.134147,0.122169
9.77595,0.112587,0.10061
9.74241,0.0982146,0.138938
9.77355,0.0982146,0.0958191
9.6945,0.0742598,0.0862372
9.79032,0.112587,0.107797
9.78313,0.105401,0.105401
9.76876,0.122169,0.131751
9.74241,0.0958191,0.122169
9.78074,0.122169,0.0982146
9.70887,0.107797,0.0934237
9.77355,0.114983,0.105401
9.76397,0.0910282,0.0958191
9.75678,0.0718644,0.112587
9.75678,0.0862372,0.0742598
9.78793,0.141333,0.0958191
9.78553,0.105401,0.124565
9.76397,0.0886327,0.189243
9.79511,0.136542,0.105401
9.77116,0.0862372,0.0934237
9.79511,0.10061,0.122169
9.78793,0.117378,0.114983
9.77834,0.117378,0.122169
9.75678,0.122169,0.107797
9.75918,0.0982146,0.114983
9.75439,0.129356,0.117378
9.71127,0.119774,0.0958191
9.77355,0.0742598,0.117378
9.76157,0.0862372,0.0958191
