gx1,gy1,gz1
-0.00312955,-0.000798781,-0.00057258
-0.00206428,-0.00346194,-3.99478e-05
6.62454e-05,0.00186438,-0.00057258
-0.000466386,-0.00133141,0.00155795
0.000598877,-0.00346194,0.00155795
-0.00312955,-0.00239668,-0.00057258
-0.000999018,0.00133175,-0.00057258
6.62454e-05,0.000799114,-0.00323574
-0.00206428,0.00133175,-0.00110521
0.00166414,-0.00239668,0.00155795
-0.00206428,-0.00292931,0.00262321
-0.00312955,-0.00186404,-0.00376837
-0.00153165,-0.00346194,-0.00057258
0.000598877,-0.000798781,-3.99478e-05
-0.00259691,0.00292964,-3.99478e-05
-0.00526007,-0.00505984,0.00155795
-0.00206428,0.000266482,-0.00110521
-0.00206428,-0.00186404,-0.00376837
0.00113151,0.00186438,-0.00163784
0.00166414,-0.00239668,-0.00270311
6.62454e-05,-0.00292931,-0.00110521
0.00219677,-0.000266149,0.00155795
-0.000999018,-0.000798781,-0.00217047
-0.00632534,-0.00133141,-0.00270311
0.0027294,-0.00239668,-3.99478e-05
0.00326204,-0.000266149,-3.99478e-05
6.62454e-05,0.0039949,-0.00057258
-0.000999018,-0.00239668,-0.00057258
0.0027294,-0.00133141,-0.00163784
6.62454e-05,-0.00292931,0.00368847
-0.00259691,0.000799114,0.000492684
-0.00206428,-0.00133141,-0.00163784
-0.00366218,-0.000798781,-0.00110521
0.00219677,-0.00346194,-0.00323574
0.00113151,-0.000798781,-0.00057258
-0.000999018,-0.00186404,-0.00270311
-0.000999018,-0.000798781,-0.00536627
-0.00419481,-0.000266149,-0.00323574
-0.00153165,0.00133175,0.00422111
-0.00419481,-0.000798781,-0.00110521
6.62454e-05,-0.00133141,-0.00270311
0.00326204,-0.000266149,0.000492684
-0.000466386,-0.000798781,-0.00057258
-0.000466386,-0.00346194,-3.99478e-05
-0.00419481,-0.00239668,-0.00110521
0.00219677,0.000799114,-0.00110521
0.00219677,0.00133175,0.00102532
-0.000999018,-0.000798781,0.000492684
0.000598877,0.00133175,-3.99478e-05
-0.000999018,-0.000798781,-0.00057258
-0.00153165,0.000266482,-0.00163784
-0.000999018,0.000266482,0.000492684
0.000598877,-0.00133141,-0.00163784
-0.00259691,0.000799114,-0.00163784
-0.000466386,-0.00239668,0.00262321
6.62454e-05,-0.00346194,0.00155795
6.62454e-05,-0.00186404,0.00209058
0.00485993,-0.00559247,0.00102532
-0.00259691,0.000266482,-0.00217047
-0.00312955,-0.00186404,-3.99478e-05
0.00645783,-0.000798781,0.00315584
-0.00472744,-0.00399457,0.000492684
-0.00206428,-0.00133141,-0.00110521
-0.00259691,0.00186438,-3.99478e-05
0.00113151,-0.00239668,0.00102532
0.0027294,0.000266482,-0.00217047
-0.00419481,-0.00186404,0.00528637
-0.00472744,-0.00665773,0.00155795
-0.00312955,-0.00399457,-3.99478e-05
-0.00259691,-0.00186404,0.000492684
0.000598877,0.00133175,-0.00270311
0.00219677,0.000266482,-0.00057258
6.62454e-05,-0.00186404,-0.00057258
-0.00259691,-0.00133141,-3.99478e-05
0.00166414,0.000266482,0.00102532
-0.00312955,-0.0045272,-3.99478e-05
-0.00206428,-0.00133141,-3.99478e-05
0.00219677,-0.00186404,-3.99478e-05
-0.000999018,-0.000798781,-0.00376837
-0.00366218,-0.00133141,-0.00057258
0.00113151,-0.00133141,-3.99478e-05
6.62454e-05,-0.00346194,0.00209058
-0.00259691,0.000266482,-0.00110521
-0.000466386,-0.00292931,0.00102532
-0.000999018,0.000266482,-0.00163784
0.0043273,0.000266482,-0.00057258
0.0027294,-0.00133141,-0.00376837
-0.000466386,-0.0045272,-0.00217047
0.0027294,-0.000798781,0.000492684
0.00166414,-0.00346194,0.00368847
0.000598877,-0.00186404,0.00155795
-0.00153165,-0.000798781,-3.99478e-05
0.000598877,-0.00239668,-0.00057258
-0.00366218,0.00239701,-0.00110521
0.00326204,-0.00239668,0.00102532
0.00113151,-0.00133141,-3.99478e-05
0.00219677,-0.00133141,-0.00057258
-0.00259691,-0.00505984,0.00102532
-0.00312955,-0.00239668,-0.004301
-0.000466386,-0.00133141,0.00102532
-0.00312955,0.000799114,-0.00057258
0.00326204,-0.000266149,-0.00057258
-0.000466386,-0.000266149,-3.99478e-05
-0.00259691,0.000799114,-0.00110521
-0.00259691,-0.000798781,-0.00110521
0.00113151,-0.00186404,-0.00217047
0.00113151,-0.00346194,-0.00110521
0.0027294,-0.000798781,-3.99478e-05
0.00113151,-0.00186404,-3.99478e-05
0.0027294,0.000799114,-0.00057258
-0.00153165,0.00133175,-3.99478e-05
6.62454e-05,-0.000798781,-0.00323574
-0.000466386,-0.00239668,0.00262321
-0.00472744,-0.00399457,-0.00057258
-0.00206428,0.000799114,-0.00110521
0.00326204,0.00239701,-0.00057258
-0.00153165,-0.00133141,0.00262321
-0.000466386,-0.000798781,-0.004301
0.000598877,0.000799114,-0.00057258
